query,docid,rating
iPhone 4s,4039955,1
iPhone 4s,3133099,1
iPhone 4s,4016593,1
iPhone 4s,3133123,1
iPhone 4s,1990451,1
iPhone 4s,3815157,2
iPhone 4s,3487648,3
iPhone 4s,3815272,2
iPhone 4s,3487784,3
iPhone 4s,3815245,2
lcd tv,4740317,3
lcd tv,4550361,3
lcd tv,9881868,1
lcd tv,7622664,2
lcd tv,7623217,2
lcd tv,5603493,2
lcd tv,4647822,2
lcd tv,4761056,2
lcd tv,999927900050027,1
lcd tv,8453666,1
lcd tv,4854433,1
lcd tv,8733711,1
lcd tv,8223022,1
apple ipad 2,u90YEn8Bz01MAwPTY3H7,2
apple ipad 2,vN0YEn8Bz01MAwPTY3H7,2
apple ipad 2,vd0YEn8Bz01MAwPTY3H7,2
apple ipad 2,1945531,3
apple ipad 2,2339322,3
apple ipad 2,4881142,2
apple ipad 2,4881072,2
apple ipad 2,4879523,1
apple ipad 2,9924603,1
apple ipad 2,1853259,0
ipad 2,u90YEn8Bz01MAwPTY3H7,2
ipad 2,vN0YEn8Bz01MAwPTY3H7,2
ipad 2,vd0YEn8Bz01MAwPTY3H7,2
ipad 2,vt0YEn8Bz01MAwPTY3H7,2
ipad 2,v90YEn8Bz01MAwPTY3H7,2
ipad 2,wN0YEn8Bz01MAwPTY3H7,2
ipad 2,1945531,3
ipad 2,2339322,3
